epoch,train_loss,val_loss,train_acc,val_acc
1,0.459741,0.355279,0.762812,0.863750
2,0.327363,0.296623,0.865156,0.901250
3,0.282675,0.263170,0.894687,0.920625
4,0.253168,0.239854,0.911719,0.938125
5,0.231236,0.222237,0.926562,0.950625
6,0.213995,0.208242,0.938594,0.959375
7,0.199929,0.196785,0.947187,0.967500
8,0.188158,0.187229,0.951406,0.969375
9,0.178121,0.179153,0.956250,0.970625
10,0.169433,0.172247,0.958594,0.971875
11,0.161824,0.166272,0.961094,0.972500
12,0.155107,0.161057,0.964219,0.978125
13,0.149128,0.156476,0.966406,0.977500
14,0.143753,0.152423,0.968281,0.978125
15,0.138878,0.148805,0.969688,0.977500
16,0.134419,0.145546,0.972188,0.977500
17,0.130313,0.142587,0.975312,0.977500
18,0.126511,0.139881,0.978594,0.977500
19,0.122972,0.137394,0.979844,0.978125
20,0.119663,0.135098,0.980156,0.977500
21,0.116558,0.132972,0.980781,0.978125
22,0.113636,0.130998,0.981250,0.978750
23,0.110877,0.129162,0.982031,0.978750
24,0.108267,0.127451,0.982344,0.978750
25,0.105793,0.125856,0.983281,0.978750
26,0.103441,0.124367,0.983594,0.978750
27,0.101204,0.122977,0.984062,0.978750
28,0.099071,0.121677,0.985000,0.980000
29,0.097035,0.120461,0.985156,0.980000
30,0.095088,0.119325,0.985313,0.979375
31,0.093225,0.118264,0.985469,0.979375
32,0.091439,0.117277,0.985625,0.979375
33,0.089726,0.116362,0.985937,0.980000
34,0.088080,0.115521,0.985937,0.980000
35,0.086499,0.114755,0.986094,0.980000
36,0.084978,0.114064,0.986406,0.979375
37,0.083514,0.113445,0.986562,0.979375
38,0.082104,0.112892,0.986562,0.979375
39,0.080744,0.112397,0.987344,0.979375
40,0.079434,0.111947,0.987500,0.979375
41,0.078169,0.111532,0.987813,0.978750
42,0.076948,0.111140,0.988281,0.978750
43,0.075768,0.110765,0.988437,0.978750
44,0.074626,0.110402,0.988437,0.978750
45,0.073521,0.110047,0.988906,0.979375
46,0.072450,0.109701,0.988906,0.979375
47,0.071412,0.109362,0.989062,0.979375
48,0.070406,0.109030,0.989375,0.979375
49,0.069428,0.108707,0.989375,0.979375
50,0.068479,0.108392,0.989375,0.979375
51,0.067557,0.108086,0.989531,0.978750
52,0.066660,0.107789,0.989531,0.978750
53,0.065787,0.107500,0.989844,0.978750
54,0.064937,0.107221,0.990000,0.978750
55,0.064110,0.106949,0.990156,0.978125
56,0.063303,0.106686,0.990469,0.978125
57,0.062517,0.106431,0.990625,0.978125
58,0.061751,0.106183,0.990469,0.978125
59,0.061003,0.105943,0.990937,0.978125
60,0.060273,0.105710,0.991250,0.978125
61,0.059561,0.105484,0.991250,0.978125
62,0.058865,0.105264,0.991406,0.978125
63,0.058185,0.105050,0.991406,0.978125
64,0.057521,0.104842,0.991406,0.979375
65,0.056871,0.104641,0.991719,0.979375
66,0.056236,0.104444,0.991875,0.979375
67,0.055615,0.104253,0.992188,0.979375
68,0.055008,0.104067,0.992344,0.980000
69,0.054413,0.103887,0.992344,0.980000
70,0.053832,0.103711,0.992344,0.979375
71,0.053262,0.103539,0.992656,0.979375
72,0.052704,0.103373,0.992656,0.979375
73,0.052158,0.103210,0.992813,0.979375
74,0.051623,0.103053,0.993125,0.979375
75,0.051098,0.102899,0.993125,0.979375
76,0.050584,0.102749,0.993125,0.979375
77,0.050080,0.102603,0.993281,0.979375
78,0.049586,0.102462,0.993281,0.978750
79,0.049101,0.102324,0.993281,0.978125
80,0.048626,0.102189,0.993438,0.978125
81,0.048159,0.102058,0.993438,0.978125
82,0.047701,0.101931,0.993750,0.978125
83,0.047252,0.101807,0.993750,0.978125
84,0.046811,0.101686,0.993750,0.978125
85,0.046378,0.101569,0.993750,0.978125
86,0.045953,0.101454,0.993594,0.978125
87,0.045535,0.101343,0.993594,0.978125
88,0.045124,0.101235,0.994062,0.978125
89,0.044721,0.101129,0.994219,0.978125
90,0.044325,0.101026,0.994219,0.978125
91,0.043936,0.100926,0.994375,0.978125
92,0.043553,0.100828,0.994375,0.978125
93,0.043176,0.100733,0.994531,0.977500
94,0.042806,0.100641,0.994531,0.977500
95,0.042442,0.100550,0.994844,0.977500
96,0.042084,0.100462,0.994844,0.976875
97,0.041732,0.100375,0.994844,0.976875
98,0.041385,0.100291,0.995000,0.976875
99,0.041044,0.100209,0.995000,0.976875
100,0.040708,0.100128,0.995000,0.976875
101,0.040378,0.100049,0.995000,0.976875
102,0.040053,0.099971,0.995156,0.976250
103,0.039733,0.099895,0.995156,0.976250
104,0.039418,0.099820,0.995156,0.976250
105,0.039107,0.099747,0.995156,0.976250
106,0.038802,0.099674,0.995313,0.976250
107,0.038500,0.099603,0.995313,0.976250
108,0.038204,0.099532,0.995313,0.976250
109,0.037912,0.099463,0.995313,0.976250
110,0.037624,0.099394,0.995313,0.976250
111,0.037340,0.099326,0.995469,0.976875
112,0.037061,0.099259,0.995469,0.976875
113,0.036785,0.099192,0.995469,0.976875
114,0.036513,0.099126,0.995469,0.976875
115,0.036246,0.099060,0.995625,0.976875
116,0.035982,0.098995,0.995625,0.976875
117,0.035722,0.098930,0.995781,0.976875
118,0.035465,0.098866,0.995781,0.976875
119,0.035212,0.098802,0.995781,0.976875
120,0.034962,0.098739,0.995781,0.976875
