epoch,train_loss,val_loss,train_acc,val_acc
1,0.353340,0.203468,0.859062,0.940000
2,0.176898,0.126607,0.953750,0.975625
3,0.121898,0.095560,0.971719,0.988125
4,0.094274,0.080894,0.981875,0.988750
5,0.075467,0.073326,0.987813,0.985000
6,0.068159,0.067341,0.989219,0.987500
7,0.058539,0.064116,0.989688,0.987500
8,0.053636,0.063372,0.990469,0.986875
9,0.048025,0.060735,0.992969,0.986875
10,0.042756,0.058807,0.994687,0.986875
11,0.041242,0.068447,0.993281,0.980625
12,0.040683,0.058457,0.993594,0.987500
13,0.035753,0.056300,0.995000,0.986250
14,0.034688,0.059563,0.995313,0.984375
15,0.034880,0.056171,0.995625,0.985625
16,0.036222,0.054860,0.993750,0.988125
17,0.031810,0.056647,0.995469,0.986250
18,0.030616,0.055218,0.997344,0.987500
19,0.031816,0.060833,0.995156,0.985625
20,0.030265,0.053031,0.995469,0.988125
21,0.027093,0.056051,0.997187,0.986875
22,0.031417,0.070943,0.995781,0.983125
23,0.028131,0.058594,0.996406,0.986875
24,0.027936,0.055456,0.996875,0.988125
25,0.029645,0.058674,0.995781,0.984375
26,0.028046,0.066852,0.996406,0.982500
27,0.027735,0.059227,0.995938,0.985625
28,0.026194,0.057393,0.997344,0.987500
29,0.023238,0.052947,0.998594,0.990625
30,0.021680,0.052349,0.998750,0.990625
31,0.021582,0.052543,0.998750,0.990625
32,0.023758,0.054526,0.997500,0.991250
33,0.021150,0.051418,0.998125,0.990625
34,0.021476,0.051540,0.998125,0.991250
35,0.021411,0.051969,0.998906,0.990000
36,0.021451,0.052130,0.998125,0.991250
37,0.020877,0.055400,0.998125,0.990625
38,0.020222,0.056788,0.998750,0.989375
39,0.020364,0.053853,0.998906,0.990000
40,0.020639,0.053687,0.998281,0.988750
41,0.020434,0.052774,0.998125,0.990000
42,0.019424,0.055104,0.999062,0.990625
43,0.019161,0.053648,0.999062,0.990000
44,0.019268,0.053419,0.999062,0.990000
45,0.019355,0.054424,0.998906,0.990000
46,0.019168,0.053396,0.998906,0.990000
47,0.018872,0.052546,0.999219,0.990000
48,0.018734,0.051920,0.998906,0.990625
49,0.018444,0.051349,0.999219,0.991875
50,0.018102,0.050815,0.998750,0.990625
51,0.017657,0.051226,0.998906,0.990625
52,0.017721,0.051873,0.999219,0.990625
53,0.018383,0.053299,0.998594,0.990000
54,0.017844,0.052181,0.999062,0.990000
55,0.017405,0.052837,0.999062,0.990000
56,0.017654,0.052015,0.999219,0.990625
57,0.017225,0.052834,0.999062,0.990000
58,0.017344,0.053783,0.999375,0.990625
59,0.017687,0.052852,0.999219,0.990000
60,0.016984,0.052475,0.999219,0.990000
61,0.017306,0.053131,0.999062,0.990000
62,0.017628,0.053170,0.998438,0.990000
63,0.016960,0.052697,0.999375,0.990000
64,0.017112,0.053055,0.999219,0.990000
65,0.017224,0.052446,0.999062,0.990000
66,0.017042,0.052478,0.999219,0.990000
67,0.017157,0.051726,0.999219,0.990625
68,0.016758,0.051979,0.999219,0.990625
69,0.016848,0.051817,0.999219,0.990000
70,0.016607,0.051868,0.999062,0.990625
