epoch,train_loss,val_loss,train_acc,val_acc
1,0.343012,0.187314,0.900625,0.961875
2,0.182323,0.152060,0.965625,0.982500
3,0.158954,0.139881,0.978125,0.984375
4,0.136717,0.130361,0.983281,0.987500
5,0.121406,0.139333,0.987656,0.985625
6,0.125430,0.144456,0.986562,0.984375
7,0.119163,0.133956,0.990000,0.988750
8,0.101626,0.129232,0.994062,0.986875
9,0.098870,0.118283,0.991719,0.992500
10,0.092413,0.115810,0.994844,0.992500
11,0.096778,0.118185,0.993125,0.992500
12,0.091517,0.112867,0.993750,0.992500
13,0.090643,0.119701,0.993125,0.989375
14,0.088593,0.117082,0.993281,0.990625
15,0.081835,0.108502,0.994531,0.991875
16,0.081156,0.117992,0.993125,0.983750
17,0.081847,0.111569,0.993281,0.990625
18,0.076308,0.114318,0.993906,0.988750
19,0.075745,0.125068,0.993750,0.993125
20,0.081106,0.104929,0.991875,0.991250
21,0.083346,0.132955,0.988906,0.981250
22,0.081935,0.095866,0.990313,0.991875
23,0.077475,0.106626,0.992344,0.991875
24,0.081641,0.107443,0.990937,0.988125
25,0.064808,0.101924,0.996875,0.990000
26,0.061871,0.098335,0.996406,0.991250
27,0.062690,0.109499,0.994531,0.986875
28,0.063031,0.102129,0.994687,0.987500
29,0.055894,0.094863,0.997031,0.991250
30,0.053577,0.103953,0.997969,0.986250
31,0.056040,0.093818,0.995625,0.993125
32,0.059882,0.098809,0.995469,0.987500
33,0.055321,0.111811,0.994844,0.984375
34,0.059993,0.110192,0.992500,0.984375
35,0.060166,0.106966,0.993594,0.983750
36,0.058144,0.088657,0.993750,0.990625
37,0.053511,0.101754,0.995938,0.988750
38,0.054668,0.102034,0.994062,0.989375
39,0.053563,0.105169,0.995313,0.985625
40,0.050266,0.091081,0.995781,0.991250
41,0.055331,0.117364,0.995000,0.978750
42,0.062579,0.101266,0.991406,0.988750
43,0.047828,0.095690,0.996719,0.988750
44,0.045413,0.105048,0.997187,0.985000
45,0.042015,0.089657,0.998125,0.991875
46,0.039887,0.087735,0.998125,0.991875
47,0.040677,0.105524,0.997656,0.986875
48,0.043442,0.090520,0.997187,0.993125
49,0.039448,0.094046,0.998281,0.991250
50,0.038184,0.084876,0.998281,0.991875
51,0.036340,0.082385,0.998750,0.992500
52,0.035494,0.086990,0.999219,0.991875
53,0.036556,0.100683,0.997187,0.986875
54,0.038125,0.091037,0.997344,0.990000
55,0.036947,0.093855,0.997187,0.990625
56,0.035925,0.080258,0.997969,0.991875
57,0.033022,0.082377,0.998906,0.991250
58,0.034113,0.099127,0.998125,0.985000
59,0.034415,0.083917,0.996875,0.990625
60,0.031191,0.082635,0.999062,0.991250
61,0.035836,0.116669,0.997187,0.985000
62,0.034487,0.081255,0.998125,0.991875
63,0.032223,0.086618,0.998125,0.988750
64,0.032915,0.080963,0.997969,0.991250
65,0.030324,0.080145,0.997969,0.993750
66,0.029740,0.087389,0.998594,0.990000
67,0.029297,0.079065,0.998438,0.993125
68,0.027077,0.079541,0.999531,0.993125
69,0.027189,0.077129,0.999219,0.993750
70,0.027059,0.078037,0.999219,0.994375
71,0.026037,0.077415,0.999531,0.994375
72,0.026803,0.076930,0.999062,0.992500
73,0.026548,0.081250,0.999375,0.991875
74,0.026525,0.075967,0.998750,0.994375
75,0.025150,0.078421,0.999062,0.993125
76,0.024577,0.079241,0.999531,0.993125
77,0.025662,0.077348,0.999062,0.993125
78,0.025619,0.080467,0.999062,0.992500
79,0.024419,0.078714,0.999219,0.992500
80,0.023698,0.078032,0.999219,0.992500
81,0.022925,0.078053,0.999687,0.991250
82,0.024090,0.073912,0.999219,0.992500
83,0.022652,0.076696,0.999375,0.992500
84,0.023573,0.076754,0.998906,0.992500
85,0.023679,0.084204,0.998906,0.991250
86,0.023161,0.084655,0.999062,0.993125
87,0.021983,0.083910,0.999375,0.993750
88,0.023395,0.083502,0.999062,0.992500
89,0.023010,0.086113,0.998594,0.991250
90,0.024109,0.081096,0.998125,0.990625
91,0.022638,0.076530,0.998594,0.993125
92,0.020958,0.074933,0.999062,0.992500
93,0.020324,0.076179,0.999687,0.993125
94,0.020192,0.078637,0.999375,0.993125
95,0.020775,0.081811,0.999531,0.991250
96,0.020409,0.080828,0.999219,0.991250
97,0.020425,0.079880,0.999062,0.992500
98,0.020295,0.078193,0.999062,0.992500
99,0.020568,0.077546,0.999219,0.993125
100,0.019499,0.077629,0.999531,0.992500
101,0.019663,0.076961,0.999531,0.992500
102,0.019078,0.076615,0.999687,0.992500
