epoch,train_loss,val_loss,train_acc,val_acc
1,0.273358,0.127346,0.910469,0.973750
2,0.114237,0.100564,0.978750,0.980000
3,0.084216,0.083279,0.986719,0.986250
4,0.068410,0.076385,0.990469,0.988125
5,0.057710,0.073426,0.992969,0.989375
6,0.050207,0.071356,0.995469,0.987500
7,0.045325,0.071318,0.995938,0.988125
8,0.042283,0.071920,0.996562,0.987500
9,0.039906,0.073161,0.996719,0.986250
10,0.038179,0.074695,0.996719,0.986875
11,0.036803,0.077098,0.997187,0.986250
12,0.035814,0.079384,0.997031,0.985625
13,0.035829,0.079369,0.996875,0.986250
14,0.033798,0.078040,0.997656,0.987500
15,0.030648,0.092278,0.998438,0.981875
16,0.033313,0.085392,0.997187,0.983125
17,0.030001,0.093365,0.998594,0.981875
18,0.030854,0.086633,0.997813,0.982500
19,0.029256,0.096650,0.998750,0.980625
20,0.030623,0.088863,0.998125,0.982500
21,0.028854,0.101788,0.998594,0.980000
22,0.030513,0.088790,0.997813,0.981250
23,0.026550,0.079221,0.999375,0.985000
24,0.026677,0.079358,0.999375,0.985625
25,0.026406,0.078866,0.999375,0.986250
26,0.026123,0.078758,0.999375,0.986250
27,0.025909,0.078632,0.999531,0.986875
