epoch,train_loss,val_loss,train_acc,val_acc
1,0.359052,0.164703,0.870156,0.977500
2,0.188791,0.130001,0.954219,0.975000
3,0.142088,0.141037,0.973906,0.970000
4,0.133946,0.116853,0.973906,0.984375
5,0.117493,0.235496,0.978437,0.942500
6,0.109304,0.180532,0.983750,0.952500
7,0.099175,0.230518,0.985469,0.942500
8,0.098803,0.113539,0.985156,0.989375
9,0.091593,0.271106,0.986562,0.941250
10,0.088407,0.112960,0.988594,0.987500
11,0.089082,0.107568,0.987344,0.987500
12,0.079142,0.141349,0.988437,0.976875
13,0.076707,0.134330,0.991719,0.985625
14,0.074442,0.181969,0.991719,0.965000
15,0.077178,0.188478,0.989531,0.958750
16,0.066912,0.141841,0.992344,0.976875
17,0.064486,0.125278,0.992813,0.983125
18,0.069427,0.253431,0.991406,0.940000
19,0.068052,0.497252,0.990469,0.893750
20,0.057022,0.133418,0.994375,0.980000
21,0.049352,0.121258,0.995938,0.983125
22,0.050217,0.110028,0.996562,0.988750
23,0.047551,0.105941,0.996406,0.989375
24,0.047020,0.134380,0.996406,0.978125
25,0.045493,0.115406,0.997656,0.988125
26,0.048123,0.136467,0.996250,0.983750
27,0.043010,0.166978,0.998281,0.973125
28,0.046907,0.157715,0.995781,0.971875
29,0.048270,0.098767,0.996719,0.988125
30,0.040826,0.186678,0.998281,0.963125
31,0.044390,0.098365,0.996719,0.988750
32,0.039774,0.095773,0.997813,0.990000
33,0.038661,0.152538,0.998125,0.978750
34,0.040812,0.113181,0.996875,0.989375
35,0.039632,0.104922,0.997031,0.988125
36,0.038922,0.113490,0.997500,0.988750
37,0.037611,0.112014,0.997813,0.988750
38,0.037736,0.144952,0.997813,0.978125
39,0.033125,0.105635,0.998906,0.988750
40,0.037394,0.116716,0.996875,0.986250
41,0.034006,0.098831,0.998594,0.990000
42,0.034692,0.099107,0.997969,0.989375
43,0.031416,0.102604,0.999375,0.989375
44,0.030739,0.115113,0.999219,0.986250
45,0.031444,0.117398,0.998594,0.987500
46,0.031246,0.103002,0.998750,0.989375
47,0.030084,0.107286,0.999219,0.989375
48,0.031570,0.103776,0.998125,0.988125
49,0.029832,0.101512,0.998750,0.988750
50,0.028886,0.104570,0.999375,0.988125
51,0.028719,0.107080,0.999219,0.988125
52,0.029177,0.107997,0.998750,0.988750
