epoch,train_loss,val_loss,train_acc,val_acc
1,0.792934,0.527902,0.725496,0.870466
2,0.681167,0.522656,0.836735,0.870466
3,0.669799,0.527502,0.833860,0.870466
4,0.662059,0.532123,0.839322,0.870466
5,0.656140,0.526611,0.837597,0.870466
6,0.652447,0.534410,0.839897,0.870466
7,0.651894,0.538301,0.838459,0.870466
8,0.647966,0.531778,0.839322,0.870466
9,0.647063,0.535917,0.840471,0.870466
10,0.647258,0.530557,0.840184,0.870466
11,0.644304,0.536228,0.841909,0.870466
12,0.641554,0.527629,0.840471,0.870466
13,0.639390,0.526501,0.842196,0.870466
14,0.640128,0.534970,0.842196,0.870466
15,0.635908,0.534153,0.842483,0.870466
16,0.636072,0.527144,0.842483,0.870466
17,0.633538,0.529542,0.839897,0.870466
18,0.631631,0.532850,0.841046,0.870466
19,0.631283,0.531045,0.840759,0.870466
20,0.628354,0.520187,0.841909,0.870466
21,0.627231,0.526986,0.843058,0.870466
22,0.624087,0.525213,0.843058,0.870466
23,0.624559,0.520227,0.842771,0.870466
24,0.624339,0.519839,0.841621,0.870466
25,0.621282,0.518673,0.840759,0.870466
26,0.620561,0.520436,0.840184,0.870466
27,0.621876,0.542728,0.842483,0.870466
28,0.617588,0.526133,0.839897,0.870466
29,0.617184,0.517448,0.840184,0.870466
30,0.615244,0.523926,0.841046,0.870466
31,0.614387,0.520810,0.837022,0.870466
32,0.612353,0.529461,0.841046,0.867876
33,0.614467,0.525483,0.836735,0.870466
34,0.616538,0.531868,0.841621,0.870466
35,0.612137,0.529299,0.841334,0.870466
36,0.614152,0.532924,0.840471,0.869171
37,0.613645,0.535649,0.840184,0.869171
38,0.607614,0.544904,0.843346,0.865285
39,0.610806,0.542163,0.837597,0.865285
40,0.607635,0.530764,0.840759,0.865285
41,0.610051,0.540215,0.840759,0.870466
42,0.608147,0.541651,0.841046,0.866580
43,0.609146,0.535656,0.839897,0.866580
44,0.607978,0.549568,0.842483,0.862694
45,0.604523,0.540390,0.839322,0.865285
46,0.606044,0.535263,0.839034,0.862694
47,0.607972,0.537292,0.837884,0.866580
48,0.609430,0.549591,0.839322,0.863990
49,0.603982,0.533239,0.839034,0.865285
50,0.602750,0.541012,0.840471,0.866580
51,0.605752,0.541160,0.843921,0.865285
52,0.602675,0.543361,0.839897,0.867876
53,0.604623,0.547732,0.839034,0.863990
54,0.604729,0.538434,0.839322,0.866580
55,0.603670,0.547224,0.844496,0.863990
56,0.602504,0.545692,0.839897,0.863990
57,0.602541,0.544478,0.841909,0.852332
58,0.602263,0.544398,0.844496,0.862694
59,0.598541,0.538094,0.843633,0.863990
60,0.600136,0.533233,0.845070,0.866580
61,0.604189,0.549466,0.843058,0.860104
62,0.598299,0.536122,0.843058,0.857513
63,0.599344,0.536352,0.842483,0.863990
64,0.599033,0.542281,0.843058,0.860104
65,0.598827,0.538157,0.843633,0.866580
66,0.598416,0.545857,0.843346,0.863990
67,0.598672,0.543208,0.843346,0.863990
68,0.599983,0.546006,0.840759,0.865285
69,0.598995,0.536954,0.843346,0.867876
70,0.599747,0.548200,0.843921,0.867876
71,0.594440,0.541639,0.842483,0.863990
72,0.597010,0.546726,0.842771,0.867876
73,0.597609,0.542325,0.841621,0.863990
74,0.594254,0.537578,0.844496,0.865285
75,0.597040,0.536351,0.843921,0.867876
76,0.597587,0.539309,0.843058,0.866580
77,0.598302,0.552898,0.842771,0.863990
78,0.594999,0.552267,0.843633,0.863990
79,0.595592,0.550281,0.844783,0.866580
80,0.597336,0.542428,0.842771,0.863990
81,0.594927,0.536861,0.846220,0.867876
82,0.592877,0.539127,0.842483,0.866580
83,0.595783,0.550426,0.844496,0.867876
84,0.596889,0.529026,0.843058,0.865285
85,0.593436,0.554801,0.845933,0.862694
86,0.591467,0.536567,0.845933,0.861399
87,0.594052,0.522801,0.843346,0.867876
88,0.592028,0.529973,0.841621,0.865285
89,0.594880,0.535627,0.842483,0.867876
90,0.591308,0.541944,0.840759,0.861399
91,0.591325,0.549277,0.841334,0.866580
92,0.594664,0.545460,0.843633,0.867876
93,0.593794,0.536915,0.847657,0.867876
94,0.591581,0.543113,0.844208,0.867876
95,0.592886,0.546680,0.844496,0.867876
96,0.591148,0.530861,0.844783,0.867876
97,0.593540,0.539568,0.840759,0.866580
98,0.591499,0.541001,0.843633,0.867876
99,0.588386,0.537032,0.847370,0.867876
100,0.591984,0.546521,0.845645,0.866580
101,0.591834,0.548686,0.847370,0.867876
102,0.587928,0.548007,0.843921,0.867876
103,0.588967,0.530194,0.844783,0.867876
104,0.591298,0.547487,0.845645,0.867876
105,0.587286,0.548004,0.846220,0.867876
106,0.588065,0.559345,0.846795,0.867876
107,0.590980,0.553027,0.843921,0.867876
108,0.588847,0.560857,0.847370,0.862694
109,0.590271,0.556375,0.845645,0.863990
110,0.583738,0.541274,0.843346,0.867876
111,0.589180,0.551183,0.844783,0.866580
112,0.586118,0.540479,0.843921,0.867876
113,0.590316,0.545174,0.846795,0.867876
114,0.587846,0.536808,0.844208,0.867876
115,0.587057,0.551606,0.843346,0.867876
116,0.587244,0.554391,0.845933,0.867876
117,0.587598,0.535356,0.842771,0.865285
118,0.590778,0.544701,0.841334,0.867876
119,0.589623,0.548254,0.843921,0.867876
120,0.584992,0.547987,0.849095,0.867876
