epoch,train_loss,val_loss,train_acc,val_acc
1,0.455541,0.577811,0.823906,0.811875
2,0.211498,0.437949,0.948438,0.870000
3,0.158287,0.347789,0.968125,0.893750
4,0.138416,0.236334,0.974063,0.933750
5,0.117122,0.173204,0.980625,0.955000
6,0.110589,0.119297,0.982344,0.975625
7,0.101022,0.135323,0.985781,0.972500
8,0.093690,0.139187,0.987031,0.970625
9,0.094156,0.148603,0.988281,0.961250
10,0.091735,0.136117,0.988437,0.968125
11,0.091760,0.123069,0.986406,0.973750
12,0.097245,0.093111,0.983437,0.984375
13,0.088813,0.084247,0.986406,0.992500
14,0.077073,0.086349,0.990937,0.988125
15,0.075944,0.083169,0.991719,0.986875
16,0.069186,0.083802,0.994375,0.990625
17,0.072012,0.095874,0.992500,0.984375
18,0.069207,0.089490,0.994062,0.985000
19,0.064462,0.090227,0.994687,0.986250
20,0.065369,0.090391,0.993594,0.985000
21,0.065466,0.087116,0.993594,0.989375
22,0.064123,0.092097,0.994062,0.984375
23,0.060019,0.085639,0.995000,0.986875
24,0.053733,0.080051,0.997500,0.986875
25,0.056333,0.078012,0.994687,0.988125
26,0.053633,0.099289,0.996719,0.982500
27,0.055142,0.072385,0.996094,0.992500
28,0.049856,0.080265,0.998125,0.988125
29,0.050155,0.088247,0.997500,0.984375
30,0.053835,0.078427,0.995781,0.989375
31,0.047111,0.077355,0.998281,0.990000
32,0.047376,0.076640,0.997344,0.988125
33,0.044464,0.075954,0.998906,0.990000
34,0.049657,0.083376,0.996562,0.988125
35,0.048348,0.075884,0.997500,0.990000
36,0.046028,0.075941,0.997656,0.990000
37,0.043373,0.073149,0.998438,0.990000
38,0.042141,0.071000,0.998594,0.990625
39,0.042292,0.072301,0.998750,0.988750
40,0.041335,0.072282,0.998594,0.990000
41,0.041875,0.069231,0.998594,0.991250
42,0.040416,0.072311,0.998906,0.990625
43,0.039613,0.068360,0.998750,0.990625
44,0.041713,0.065513,0.998438,0.990000
45,0.040561,0.064033,0.998281,0.990625
46,0.039286,0.067838,0.998438,0.988750
47,0.038844,0.065000,0.999219,0.990625
48,0.036840,0.065172,0.999375,0.990000
49,0.038074,0.067748,0.998125,0.989375
50,0.037952,0.065840,0.998594,0.990000
51,0.036154,0.066291,0.999375,0.989375
52,0.037070,0.063244,0.998594,0.990000
53,0.035521,0.065927,0.998906,0.989375
54,0.035814,0.063367,0.998906,0.989375
55,0.035041,0.063399,0.999062,0.990625
56,0.036229,0.067313,0.998594,0.988125
57,0.036899,0.067431,0.998125,0.988750
58,0.034392,0.067131,0.998750,0.988125
59,0.034026,0.070375,0.998438,0.988750
60,0.033974,0.066586,0.999062,0.989375
61,0.032991,0.067097,0.999375,0.988125
62,0.032764,0.066760,0.999375,0.989375
63,0.033669,0.066513,0.998906,0.988750
64,0.033341,0.068325,0.998438,0.988125
65,0.032876,0.081922,0.998594,0.983750
66,0.032473,0.062514,0.998906,0.990625
67,0.032295,0.066238,0.998750,0.990625
68,0.032964,0.063334,0.998594,0.990625
69,0.031694,0.059082,0.998594,0.991250
70,0.031397,0.066014,0.999375,0.988125
71,0.031160,0.064162,0.998750,0.988750
72,0.031648,0.072586,0.998750,0.987500
73,0.032340,0.068838,0.998750,0.987500
74,0.029840,0.059706,0.999375,0.991250
75,0.029977,0.061676,0.999375,0.989375
76,0.030531,0.068428,0.999375,0.986875
77,0.030677,0.060951,0.998594,0.990625
78,0.029921,0.060962,0.998750,0.991250
79,0.029441,0.061061,0.999375,0.990625
80,0.029727,0.059320,0.999219,0.991250
81,0.028702,0.058032,0.999531,0.990625
82,0.029845,0.058638,0.998750,0.991250
83,0.028157,0.057403,0.999531,0.991875
84,0.028227,0.057891,0.999531,0.991875
85,0.028487,0.057763,0.999531,0.991250
86,0.029175,0.057448,0.998906,0.990625
87,0.028717,0.055810,0.999531,0.990625
88,0.028100,0.055861,0.999375,0.991250
89,0.027990,0.054555,0.999375,0.991250
90,0.027683,0.055748,0.999219,0.991250
91,0.026965,0.055688,1.000000,0.990625
92,0.028072,0.055639,0.999531,0.991250
93,0.027624,0.054146,0.999375,0.991875
94,0.026645,0.053483,1.000000,0.991875
95,0.027423,0.053198,0.999531,0.991875
96,0.026880,0.054000,0.999844,0.991875
97,0.026662,0.053229,0.999844,0.992500
98,0.026734,0.052877,0.999687,0.991875
99,0.026169,0.052999,1.000000,0.990000
100,0.025900,0.054202,1.000000,0.990625
101,0.027202,0.053044,0.999219,0.991250
102,0.026044,0.054815,0.999687,0.991250
103,0.025832,0.052651,0.999687,0.990625
104,0.026029,0.053691,0.999687,0.990625
105,0.026399,0.052184,0.999531,0.991250
106,0.026289,0.052083,0.999375,0.991250
107,0.025120,0.051407,1.000000,0.990625
108,0.025382,0.051758,0.999687,0.991250
109,0.026527,0.051130,0.999219,0.993750
110,0.025584,0.052455,0.999531,0.991875
111,0.025235,0.053902,0.999844,0.991875
112,0.024621,0.055191,1.000000,0.991875
113,0.025344,0.056018,0.999219,0.991250
114,0.024621,0.053845,1.000000,0.991875
115,0.024691,0.054368,0.999531,0.991250
116,0.024237,0.054203,0.999844,0.990625
117,0.023993,0.055001,1.000000,0.991250
118,0.023903,0.054762,1.000000,0.991250
119,0.024115,0.056396,0.999844,0.990625
120,0.024297,0.056142,0.999687,0.990625
121,0.023836,0.056520,0.999844,0.990625
122,0.023617,0.055108,1.000000,0.990625
123,0.023517,0.053768,1.000000,0.992500
124,0.024053,0.055002,0.999531,0.991250
125,0.024345,0.055989,0.999687,0.990000
126,0.023632,0.055076,0.999844,0.991250
127,0.023270,0.054941,1.000000,0.990625
128,0.023752,0.055518,0.999844,0.990000
129,0.023425,0.056164,0.999844,0.990000
